EXTERNAL_REFERENCE,SOURCE_ID,USER_ID,PAYMENT_METHOD_TYPE,PAYMENT_METHOD,SITE,TRANSACTION_TYPE,TRANSACTION_AMOUNT,TRANSACTION_CURRENCY,TRANSACTION_DATE,FEE_AMOUNT,SETTLEMENT_NET_AMOUNT,SETTLEMENT_CURRENCY,SETTLEMENT_DATE,REAL_AMOUNT,COUPON_AMOUNT,METADATA
 ,6379048515,14895684, , ,MLB,WITHDRAWAL,-2.28,BRL,2019-04-04T23:00:13.000-04:00,-3.00,-5.28,BRL,2019-04-04T23:00:14.000-04:00,-5.28,0.00,{}
TesteOnline,4650463571,14895684,credit_card,master,MLB,SETTLEMENT,0.50,BRL,2019-04-04T16:28:36.000-04:00,-0.02,0.48,BRL,2019-04-04T16:28:41.000-04:00,0.48,0.00,[{}]
Pedido05,4650461474,14895684,credit_card,master,MLB,SETTLEMENT,0.56,BRL,2019-04-04T16:26:27.000-04:00,0.00,0.56,BRL,2019-04-04T16:26:34.000-04:00,0.56,0.00,[{}]
Pedido04,4650460683,14895684,credit_card,master,MLB,SETTLEMENT,0.55,BRL,2019-04-04T16:25:32.000-04:00,0.00,0.55,BRL,2019-04-04T16:25:38.000-04:00,0.55,0.00,[{}]
Pedido03,4650459760,14895684,credit_card,master,MLB,SETTLEMENT,0.54,BRL,2019-04-04T16:24:31.000-04:00,0.00,0.54,BRL,2019-04-04T16:24:38.000-04:00,0.54,0.00,[{}]
Pedido02,4650660049,14895684,credit_card,master,MLB,SETTLEMENT,0.53,BRL,2019-04-04T16:23:03.000-04:00,0.00,0.53,BRL,2019-04-04T16:23:08.000-04:00,0.53,0.00,[{}]
Caixa02,4650319381,14895684,credit_card,master,MLB,SETTLEMENT,0.52,BRL,2019-04-04T16:21:36.000-04:00,0.00,0.52,BRL,2019-04-04T16:21:44.000-04:00,0.52,0.00,[{}]
Caixa01,4650808029,14895684,credit_card,master,MLB,SETTLEMENT,0.50,BRL,2019-04-04T15:55:00.000-04:00,0.00,0.50,BRL,2019-04-04T15:55:08.000-04:00,0.50,0.00,[{}]
Caixa03,4650807048,14895684,account_money,account_money,MLB,SETTLEMENT,0.10,BRL,2019-04-04T15:53:56.000-04:00,0.00,0.10,BRL,2019-04-04T15:54:01.000-04:00,0.10,0.00,[{}]
 ,4650631015,14895684,account_money,account_money,MLB,SETTLEMENT,1.00,BRL,2019-04-04T15:53:14.000-04:00,0.00,1.00,BRL,2019-04-04T15:53:21.000-04:00,1.00,0.00,[{}]
Pedido01,4650629623,14895684,account_money,account_money,MLB,SETTLEMENT,0.50,BRL,2019-04-04T15:51:41.000-04:00,0.00,0.50,BRL,2019-04-04T15:51:49.000-04:00,0.50,0.00,[{}]
